n.id,numberOfConnectedEdges
"""DB11148""",2088
"""DB04882""",22
"""DB05626""",6
"""DB00949""",2951
"""DB07339""",171
"""DB08383""",26
"""DB03770""",268
"""DB05223""",831
"""DB13145""",1532
"""DB04124""",766
"""DB01637""",10
"""DB06736""",2860
"""DB12302""",4
"""DB11256""",38
"""DB13082""",1326
"""DB03982""",3
"""DB07532""",23
"""DB08690""",3245
"""DB04300""",29
"""DB04409""",1
"""DB13832""",78
"""DB02665""",758
"""DB08925""",1342
"""DB03517""",3
"""DB09546""",1454
"""DB08148""",32
"""DB08267""",14
"""DB08009""",263
"""DB12500""",2486
"""DB00603""",2984
"""DB06731""",3511
"""DB17088""",556
"""DB08130""",2
"""DB01487""",91
"""DB03411""",2671
"""DB08595""",8
"""DB03225""",4613
"""DB15900""",758
"""DB07139""",84
"""DB09042""",850
"""DB00692""",1642
"""DB06905""",18
"""DB07305""",10
"""DB08692""",234
"""DB01665""",6
"""DB12812""",2
"""DB13007""",688
"""DB07991""",9
"""DB11405""",628
"""DB07862""",26
"""DB07767""",4819
"""DB01101""",6026
"""DB08508""",9
"""DB04526""",154
"""DB03726""",5
"""DB04542""",34
"""DB07280""",5
"""DB01159""",6150
"""DB06899""",414
"""DB04345""",689
"""DB04684""",8
"""DB11491""",1860
"""DB07987""",35
"""DB07481""",2
"""DB07007""",12
"""DB04364""",467
"""DB04404""",7
"""DB07465""",580
"""DB07553""",1
"""DB00640""",5221
"""DB12210""",2
"""DB04079""",291
"""DB06945""",14
"""DB08038""",2
"""DB08407""",95
"""DB01121""",1650
"""DB13341""",1440
"""DB02855""",18
"""DB05104""",191
"""DB12385""",78
"""DB07831""",3
"""DB04630""",11168
"""DB05361""",1276
"""DB00912""",2323
"""DB07875""",2
"""DB03953""",19
"""DB12627""",1
"""DB00520""",1720
"""DB08354""",4
"""DB06406""",1276
"""DB12021""",30
"""DB04552""",3581
"""DB01906""",4
"""DB08270""",2
"""DB04575""",1180
"""DB01658""",27
"""DB04281""",285
"""DB12427""",1354
"""DB01554""",124
"""DB00677""",1035
"""DB04843""",1237
"""DB07068""",25
"""DB00214""",3498
"""DB00402""",3764
"""DB08942""",2772
"""DB12114""",15
"""DB07508""",3
"""DB02489""",1623
"""DB00592""",2985
"""DB09243""",2642
"""DB02820""",2
"""DB02111""",14
"""DB02567""",284
"""DB00689""",1595
"""DB01697""",8796
"""DB05266""",1619
"""DB11883""",3
"""DB11408""",732
"""DB02660""",10
"""DB02683""",46
"""DB08454""",114
"""DB03669""",6
"""DB03182""",342
"""DB15478""",786
"""DB01344""",126
"""DB16704""",106
"""DB03416""",96
"""DB03915""",219
"""DB07753""",186
"""DB12386""",572
"""DB12443""",2
"""DB06611""",72
"""DB11591""",800
"""DB05009""",61
"""DB12833""",1411
"""DB00165""",2392
"""DB04415""",24
"""DB14669""",1744
"""DB03385""",392
"""DB12078""",3
"""DB07402""",2778
"""DB03428""",242
"""DB07286""",47
"""DB13710""",124
"""DB13143""",1082
"""DB07175""",2
"""DB08362""",4
"""DB02327""",2542
"""DB07924""",1453
"""DB03197""",157
"""DB13872""",1426
"""DB02872""",88
"""DB13791""",3022
"""DB13916""",78
"""DB04321""",154
"""DB13772""",1684
"""DB00955""",1734
"""DB00209""",1463
"""DB00437""",5984
"""DB00727""",4346
"""DB02396""",98
"""DB16019""",20
"""DB01732""",7
"""DB03468""",16
"""DB09082""",3631
"""DB00188""",10677
"""DB07966""",284
"""DB06735""",708
"""DB02326""",3
"""DB00994""",13645
"""DB14533""",122
"""DB03844""",16
"""DB01210""",329
"""DB03200""",13
"""DB04230""",196
"""DB04020""",2
"""DB00195""",3221
"""DB13449""",1214
"""DB01117""",1716
"""DB09101""",1710
"""DB03125""",4763
"""DB01319""",1046
"""DB12342""",732
"""DB03142""",2566
"""DB06716""",1376
"""DB11864""",7
"""DB06679""",1404
"""DB15568""",1466
"""DB08798""",625
"""DB02060""",911
"""DB13377""",1330
"""DB13287""",574
"""DB07735""",35
"""DB00935""",1925
"""DB00525""",89
"""DB02686""",44
"""DB00860""",11181
"""DB06360""",734
"""DB06304""",732
"""DB06903""",5
"""DB02339""",49
"""DB02655""",12813
"""DB00844""",2040
"""DB03877""",3
"""DB02932""",1545
"""DB02684""",8
"""DB08075""",4
"""DB11573""",44
"""DB11171""",252
"""DB00712""",4166
"""DB13648""",2220
"""DB03228""",9
"""DB11853""",1475
"""DB03593""",85
"""DB09220""",2627
"""DB12832""",78
"""DB08339""",138
"""DB01223""",2210
"""DB00882""",1554
"""DB06444""",5
"""DB12609""",734
"""DB02180""",202
"""DB03554""",245
"""DB08062""",26
"""DB02093""",4
"""DB02839""",91
"""DB01399""",3000
"""DB01714""",190
"""DB09077""",2210
"""DB13738""",1028
"""DB06283""",2180
"""DB08080""",942
"""DB12015""",1746
"""DB12459""",78
"""DB02674""",5
"""DB04803""",2
"""DB09043""",1196
"""DB07624""",34
"""DB03677""",9
"""DB14562""",184
"""DB05659""",15
"""DB12749""",834
"""DB02435""",128
"""DB06781""",948
"""DB16659""",732
"""DB01493""",35
"""DB02401""",9
"""DB05475""",21
"""DB05025""",103
"""DB04590""",2
"""DB00601""",5543
"""DB02592""",1
"""DB01050""",9312
"""DB08436""",245
"""DB01799""",4
"""DB11836""",1
"""DB00936""",8769
"""DB06991""",2
"""DB11593""",110
"""DB05316""",1753
"""DB06705""",1646
"""DB01167""",5547
"""DB00205""",2343
"""DB00481""",3061
"""DB00028""",734
"""DB01937""",101
"""DB13491""",1740
"""DB14132""",1214
"""DB15982""",2198
"""DB06996""",162
"""DB08445""",2
"""DB08497""",18
"""DB16690""",188
"""DB03925""",138
"""DB04331""",455
"""DB07718""",160
"""DB00491""",1462
"""DB12145""",3
"""DB02933""",5
"""DB08763""",2
"""DB02999""",217
"""DB14575""",2014
"""DB02749""",16
"""DB11917""",2
"""DB04580""",37
"""DB01367""",4170
"""DB08805""",355
"""DB04132""",324
"""DB07832""",4
"""DB00496""",1886
"""DB03926""",360
"""DB07110""",34
"""DB03725""",480
"""DB09174""",1830
"""DB11979""",1431
"""DB15566""",1528
"""DB08553""",6
"""DB07596""",5
"""DB07947""",26
"""DB15093""",808
"""DB00069""",1314
"""DB07233""",9
"""DB12278""",2980
"""DB02021""",108
"""DB08579""",50
"""DB00283""",2452
"""DB05209""",732
"""DB13411""",2690
"""DB12752""",2234
"""DB04835""",1523
"""DB00748""",1948
"""DB01878""",1310
"""DB14514""",332
"""DB11621""",732
"""DB13142""",368
"""DB13500""",2596
"""DB11951""",2305
"""DB12088""",3
"""DB03706""",23
"""DB08861""",1830
"""DB05381""",16167
"""DB04169""",2
"""DB02390""",2
"""DB03180""",2
"""DB09456""",1840
"""DB01090""",2126
"""DB12053""",734
"""DB09072""",1335
"""DB09324""",1446
"""DB12604""",1736
"""DB07376""",12
"""DB00974""",170239
"""DB01466""",2434
"""DB00821""",4479
"""DB04728""",495
"""DB07979""",2
"""DB01598""",4046
"""DB05276""",732
"""DB06924""",197
"""DB03548""",118
"""DB02706""",1
"""DB03572""",8
"""DB03643""",97
"""DB11671""",1
"""DB11959""",732
"""DB04869""",130
"""DB01501""",1328
"""DB06190""",1342
"""DB01034""",422
"""DB13624""",2022
"""DB03930""",37
"""DB01791""",90
"""DB02956""",6
"""DB00858""",21
"""DB09097""",251
"""DB01268""",8690
"""DB02513""",1671
"""DB09287""",899
"""DB13370""",1330
"""DB03382""",4
"""DB05479""",156
"""DB04217""",9
"""DB04977""",364
"""DB03444""",394
"""DB07534""",7
"""DB13863""",302
"""DB13923""",918
"""DB02056""",1947
"""DB08833""",572
"""DB03938""",194
"""DB03259""",104
"""DB02882""",97
"""DB10404""",128
"""DB04792""",2
"""DB09494""",2
"""DB12681""",80
"""DB13413""",1100
"""DB06831""",20
"""DB07206""",55
"""DB08366""",29
"""DB14952""",732
"""DB14930""",26
"""DB13960""",2
"""DB01589""",1833
"""DB01967""",1
"""DB00566""",206
"""DB07905""",69
"""DB09277""",1478
"""DB05915""",732
"""DB03557""",2
"""DB14999""",78
"""DB02300""",467
"""DB01137""",7916
"""DB15360""",1818
"""DB00942""",1035
"""DB02025""",7
"""DB04756""",2
"""DB11274""",220
"""DB03595""",2
"""DB03426""",107
"""DB00737""",2494
"""DB11234""",2
"""DB01934""",8
"""DB04737""",202
"""DB00899""",3798
"""DB06725""",3371
"""DB05219""",21
"""DB03052""",79
"""DB03301""",69
"""DB04825""",1965
"""DB01531""",1825
"""DB07486""",31
"""DB13036""",837
"""DB05339""",239
"""DB12651""",2
"""DB13807""",24
"""DB03814""",4012
"""DB03824""",4
"""DB03934""",267
"""DB01731""",163
"""DB07758""",10
"""DB13598""",2164
"""DB08235""",112
"""DB00674""",3303
"""DB06779""",1716
"""DB03891""",2
"""DB02237""",2744
"""DB04795""",2143
"""DB09259""",1716
"""DB04647""",4
"""DB06342""",1356
"""DB07235""",13
"""DB13967""",1916
"""DB04381""",493
"""DB00961""",4486
"""DB01973""",200
"""DB00615""",1963
"""DB08457""",5
"""DB11520""",1736
"""DB01171""",3362
"""DB02505""",54
"""DB07684""",2
"""DB01323""",2996
"""DB08726""",79
"""DB13045""",732
"""DB13703""",2020
"""DB01108""",2182
"""DB08750""",42
"""DB06762""",1448
"""DB00232""",3004
"""DB01736""",14
"""DB03790""",173
"""DB07419""",2
"""DB08112""",187
"""DB11759""",4
"""DB04287""",103
"""DB03108""",21
"""DB07616""",2
"""DB09067""",148
"""DB00006""",1281
"""DB02428""",123
"""DB13456""",796
"""DB00595""",3650
"""DB06219""",107
"""DB07959""",22
"""DB00389""",1058
"""DB02018""",6
"""DB12158""",1
"""DB08287""",18
"""DB02265""",695
"""DB00644""",8675
"""DB02636""",44
"""DB08533""",2
"""DB09052""",1677
"""DB02264""",219
"""DB09173""",706
"""DB00121""",6332
"""DB03126""",60
"""DB02971""",545
"""DB02590""",83
"""DB00321""",7097
"""DB00546""",1715
"""DB00450""",3152
"""DB04395""",2232
"""DB15874""",12
"""DB11725""",7
"""DB01431""",3067
"""DB08964""",2
"""DB07988""",40
"""DB00100""",184
"""DB02985""",14
"""DB07502""",9
"""DB05186""",217
"""DB06889""",3209
"""DB14967""",838
"""DB07812""",10
"""DB00033""",1319
"""DB01099""",4569
"""DB08680""",406
"""DB04043""",6
"""DB02785""",1828
"""DB07568""",151
"""DB04470""",4
"""DB08326""",25
"""DB08694""",36
"""DB12000""",4
"""DB02200""",343
"""DB01883""",7
"""DB08569""",24
"""DB03928""",3
"""DB16629""",1090
"""DB04933""",285
"""DB02921""",2
"""DB04074""",200
"""DB00649""",2194
"""DB13509""",738
"""DB06230""",1570
"""DB01157""",1675
"""DB00480""",4678
"""DB13955""",2920
"""DB00251""",55
"""DB08323""",3
"""DB03222""",6203
"""DB01870""",6
"""DB04578""",14
"""DB06413""",1322
"""DB12285""",2
"""DB07077""",2
"""DB07867""",1
"""DB02948""",473
"""DB09118""",4260
"""DB01580""",3546
"""DB07953""",3
"""DB04087""",2
"""DB16479""",78
"""DB02371""",315
"""DB12402""",6
"""DB13841""",1442
"""DB09113""",280
"""DB01800""",109
"""DB07051""",1623
"""DB04616""",47
"""DB06599""",732
"""DB09501""",252
"""DB02599""",2
"""DB11493""",126
"""DB08330""",23
"""DB00259""",5756
"""DB03653""",4
"""DB01794""",2
"""DB04104""",3089
"""DB03309""",837
"""DB04793""",2
"""DB03951""",341
"""DB07382""",203
"""DB11856""",734
"""DB13316""",42
"""DB13694""",582
"""DB00132""",5625
"""DB13169""",388
"""DB03745""",239
"""DB12046""",2
"""DB06777""",3950
"""DB07138""",181
"""DB01018""",4090
"""DB08418""",2
"""DB02135""",32
"""DB07734""",38
"""DB04122""",191
"""DB14384""",556
"""DB00458""",7244
"""DB03773""",2905
"""DB02125""",22
"""DB13246""",2690
"""DB07253""",21
"""DB13055""",414
"""DB03408""",415
"""DB03415""",18
"""DB04743""",4412
"""DB04767""",4
"""DB04021""",3
"""DB00286""",7709
"""DB14711""",556
"""DB00864""",10976
"""DB03610""",40
"""DB08411""",114
"""DB09083""",1081
"""DB09111""",1454
"""DB01328""",1590
"""DB12933""",8
"""DB00057""",732
"""DB00514""",4282
"""DB13001""",2772
"""DB11311""",180
"""DB01336""",2450
"""DB05408""",13
"""DB11512""",1736
"""DB01149""",5034
"""DB01989""",2
"""DB02031""",833
"""DB02388""",19
"""DB06250""",124
"""DB11544""",110
"""DB06191""",326
"""DB06421""",2
"""DB06976""",29
"""DB09459""",78
"""DB14712""",72
"""DB00996""",4370
"""DB03540""",10
"""DB12329""",656
"""DB04092""",17
"""DB00908""",10763
"""DB14193""",2
"""DB11110""",1104
"""DB03850""",52
"""DB08065""",30
"""DB03571""",285
"""DB06480""",2619
"""DB11038""",556
"""DB17762""",556
"""DB02341""",3
"""DB04644""",6
"""DB15114""",1266
"""DB11485""",110
"""DB03347""",122
"""DB09285""",2772
"""DB12255""",2210
"""DB00127""",748
"""DB01001""",5499
"""DB02368""",87
"""DB04296""",1181
"""DB01609""",2100
"""DB09532""",333
"""DB12461""",334
"""DB00684""",1832
"""DB15090""",734
"""DB12870""",78
"""DB01030""",5406
"""DB09271""",270
"""DB02931""",3
"""DB03476""",2
"""DB00419""",534
"""DB00596""",505
"""DB01527""",3
"""DB13132""",430
"""DB00970""",1561
"""DB03405""",8
"""DB08766""",112
"""DB15160""",732
"""DB07798""",3
"""DB13192""",184
"""DB07284""",58
"""DB13526""",826
"""DB00812""",3890
"""DB00591""",3408
"""DB12242""",6
"""DB12569""",7
"""DB08996""",3518
"""DB04546""",116
"""DB13213""",1646
"""DB07025""",2
"""DB13762""",552
"""DB03010""",998
"""DB08496""",10149
"""DB09293""",22
"""DB16165""",2448
"""DB03451""",727
"""DB02163""",26
"""DB06809""",3827
"""DB14483""",126
"""DB01733""",135
"""DB03839""",6316
"""DB03293""",4
"""DB11373""",1344
"""DB14895""",330
"""DB04816""",925
"""DB12417""",1292
"""DB07358""",153
"""DB00187""",3076
"""DB06747""",4
"""DB14708""",30
"""DB15753""",80
"""DB04806""",6127
"""DB00113""",735
"""DB12726""",1278
"""DB01666""",18
"""DB01897""",2
"""DB03703""",669
"""DB05154""",1588
"""DB12612""",1215
"""DB00894""",1582
"""DB00888""",2629
"""DB05035""",2
"""DB13295""",2220
"""DB00115""",6445
"""DB00618""",700
"""DB04983""",43
"""DB07778""",75
"""DB03350""",692
"""DB14865""",78
"""DB07836""",197
"""DB13214""",224
"""DB07801""",4
"""DB02663""",2014
"""DB03038""",4
"""DB09095""",3192
"""DB06761""",280
"""DB11737""",791
"""DB00135""",6319
"""DB00202""",2541
"""DB08300""",68
"""DB12273""",1445
"""DB00849""",3105
"""DB00025""",184
"""DB06792""",176
"""DB13665""",1428
"""DB04718""",36
"""DB13538""",2986
"""DB12005""",1729
"""DB04082""",2
"""DB07855""",13
"""DB09286""",1923
"""DB01326""",1768
"""DB08632""",107
"""DB13868""",1396
"""DB05708""",1126
"""DB00360""",2442
"""DB13256""",1426
"""DB02348""",99
"""DB11919""",1430
"""DB03344""",555
"""DB00137""",2386
"""DB01023""",3411
"""DB00805""",3304
"""DB09154""",1610
"""DB04852""",5
"""DB00071""",1840
"""DB00991""",3106
"""DB07978""",2
"""DB00014""",2722
"""DB07742""",73
"""DB04450""",395
"""DB02404""",4
"""DB02568""",1222
"""DB08976""",2772
"""DB00236""",96
"""DB04669""",2
"""DB03901""",125
"""DB07968""",61
"""DB11745""",3
"""DB01075""",6915
"""DB00049""",107
"""DB03499""",2131
"""DB08720""",1
"""DB08985""",1482
"""DB03115""",19
"""DB12209""",3
"""DB11778""",15
"""DB14003""",2
"""DB07042""",384
"""DB00762""",8941
"""DB12947""",830
"""DB11982""",1
"""DB07706""",320
"""DB12198""",2
"""DB01164""",53978
"""DB07995""",161
"""DB02294""",86
"""DB12844""",734
"""DB12854""",9
"""DB08961""",1944
"""DB12991""",770
"""DB09143""",957
"""DB02234""",1384
"""DB03294""",3
"""DB08881""",6090
"""DB07212""",2
"""DB04586""",1294
"""DB00468""",10405
"""DB02338""",1394
"""DB13749""",494
"""DB03458""",3
"""DB00769""",438
"""DB14633""",1586
"""DB07902""",2
"""DB06698""",505
"""DB00299""",847
"""DB00160""",8373
"""DB00745""",2321
"""DB03292""",27
"""DB02132""",114
"""DB02616""",35
"""DB03221""",3
"""DB13532""",3286
"""DB03788""",42
"""DB08934""",2658
"""DB13637""",170
"""DB08556""",3
"""DB00181""",4856
"""DB13339""",78
"""DB11622""",1140
"""DB00978""",2187
"""DB08654""",2
"""DB04386""",1
"""DB14513""",1972
"""DB01841""",11
"""DB11079""",680
"""DB12756""",4
"""DB04243""",159
"""DB04585""",145
"""DB13746""",370
"""DB12108""",97
"""DB11942""",379
"""DB00365""",2388
"""DB01980""",206
"""DB08292""",8
"""DB02462""",19
"""DB04223""",1549
"""DB04244""",2
"""DB13274""",90
"""DB11989""",1456
"""DB13617""",1430
"""DB12483""",1326
"""DB13265""",4
"""DB11849""",734
"""DB06824""",1608
"""DB07961""",77
"""DB08099""",19
"""DB07071""",2
"""DB13481""",2772
"""DB01963""",100
"""DB16582""",76
"""DB01988""",60
"""DB01961""",91
"""DB08707""",33
"""DB04678""",222
"""DB13961""",902
"""DB03899""",2
"""DB02602""",3
"""DB04734""",54
"""DB13979""",734
"""DB06730""",1495
"""DB11554""",344
"""DB01745""",98
"""DB11904""",53
"""DB01796""",1304
"""DB08221""",4
"""DB01037""",4620
"""DB04062""",2905
"""DB01760""",54
"""DB11410""",2
"""DB13878""",872
"""DB12572""",2
"""DB07159""",333
"""DB14477""",2
"""DB00418""",3868
"""DB12319""",767
"""DB11647""",3
"""DB08893""",3626
"""DB12710""",1662
"""DB00343""",5195
"""DB11611""",6
"""DB04396""",78
"""DB08240""",48
"""DB00074""",1329
"""DB02082""",993
"""DB00715""",6267
"""DB03775""",668
"""DB08562""",2
"""DB00466""",4447
"""DB12127""",382
"""DB10991""",556
"""DB00915""",4471
"""DB07271""",2
"""DB02795""",112
"""DB07556""",99
"""DB15427""",26
"""DB09063""",2566
"""DB16393""",758
"""DB08257""",225
"""DB07850""",4
"""DB06843""",36
"""DB02055""",30
"""DB08211""",1
"""DB01836""",96
"""DB11377""",110
"""DB09147""",318
"""DB06817""",1733
"""DB03460""",667
"""DB08025""",2
"""DB05168""",208
"""DB03443""",2
"""DB00032""",8
"""DB12733""",2
"""DB01818""",90
"""DB15233""",838
"""DB07816""",1
"""DB09221""",126
"""DB08016""",409
"""DB14043""",1676
"""DB13401""",1574
"""DB08333""",22
"""DB13848""",6
"""DB01553""",1448
"""DB12110""",1413
"""DB01854""",3
"""DB12355""",2
"""DB00916""",7869
"""DB03522""",24
"""DB08623""",4
"""DB01473""",5
"""DB08194""",25
"""DB05990""",751
"""DB02067""",70
"""DB04911""",1419
"""DB01419""",2794
"""DB12901""",104
"""DB13156""",1480
"""DB04924""",66
"""DB13448""",1100
"""DB14231""",1134
"""DB00835""",2787
"""DB03192""",23
"""DB04310""",166
"""DB04739""",3
"""DB02378""",5
"""DB03120""",1520
"""DB12694""",1
"""DB02778""",287
"""DB06293""",72
"""DB01998""",35
"""DB06898""",491
"""DB09383""",2450
"""DB13827""",2
"""DB14493""",122
"""DB13520""",2340
"""DB03362""",1228
"""DB02942""",67
"""DB06049""",732
"""DB06829""",3
"""DB09344""",1454
"""DB13454""",1830
"""DB00556""",1346
"""DB07274""",9
"""DB08246""",5
"""DB04688""",201
"""DB11201""",1304
"""DB12344""",732
"""DB08370""",2
"""DB13158""",322
"""DB12313""",1448
"""DB07211""",6
"""DB03881""",12
"""DB07113""",253
"""DB00203""",5264
"""DB02281""",1183
"""DB08702""",149
"""DB03202""",95
"""DB14504""",820
"""DB12204""",1
"""DB07242""",63
"""DB07347""",3400
"""DB13335""",1424
"""DB12286""",876
"""DB11376""",1490
"""DB06770""",5750
"""DB08435""",1260
"""DB12123""",4
"""DB09079""",1552
"""DB12773""",732
"""DB03103""",111
"""DB07041""",69
"""DB14723""",734
"""DB06043""",815
"""DB06933""",2
"""DB08659""",28
"""DB04883""",54
"""DB02475""",7
"""DB00771""",1987
"""DB00775""",2297
"""DB15289""",78
"""DB01010""",2135
"""DB08299""",49
"""DB01144""",2097
"""DB01975""",8
"""DB12807""",732
"""DB01185""",497
"""DB04487""",50
"""DB06755""",2
"""DB04149""",1130
"""DB13318""",78
"""DB15477""",794
"""DB04057""",2
"""DB03024""",10
"""DB03659""",1462
"""DB12751""",1
"""DB08266""",12
"""DB00808""",3852
"""DB13075""",2
